Date,Pageviews,Clicks,Enrollments,Payments,Treatment
"Sat, Oct 11",7723,687,134,70,0
"Sun, Oct 12",9102,779,147,70,0
"Mon, Oct 13",10511,909,167,95,0
"Tue, Oct 14",9871,836,156,105,0
"Wed, Oct 15",10014,837,163,64,0
"Thu, Oct 16",9670,823,138,82,0
"Fri, Oct 17",9008,748,146,76,0
"Sat, Oct 18",7434,632,110,70,0
"Sun, Oct 19",8459,691,131,60,0
"Mon, Oct 20",10667,861,165,97,0
"Tue, Oct 21",10660,867,196,105,0
"Wed, Oct 22",9947,838,162,92,0
"Thu, Oct 23",8324,665,127,56,0
"Fri, Oct 24",9434,673,220,122,0
"Sat, Oct 25",8687,691,176,128,0
"Sun, Oct 26",8896,708,161,104,0
"Mon, Oct 27",9535,759,233,124,0
"Tue, Oct 28",9363,736,154,91,0
"Wed, Oct 29",9327,739,196,86,0
"Thu, Oct 30",9345,734,167,75,0
"Fri, Oct 31",8890,706,174,101,0
"Sat, Nov 1",8460,681,156,93,0
"Sun, Nov 2",8836,693,206,67,0
"Mon, Nov 3",9437,788,,,0
"Tue, Nov 4",9420,781,,,0
"Wed, Nov 5",9570,805,,,0
"Thu, Nov 6",9921,830,,,0
"Fri, Nov 7",9424,781,,,0
"Sat, Nov 8",9010,756,,,0
"Sun, Nov 9",9656,825,,,0
"Mon, Nov 10",10419,874,,,0
"Tue, Nov 11",9880,830,,,0
"Wed, Nov 12",10134,801,,,0
"Thu, Nov 13",9717,814,,,0
"Fri, Nov 14",9192,735,,,0
"Sat, Nov 15",8630,743,,,0
"Sun, Nov 16",8970,722,,,0
"Sat, Oct 11",7716,686,105,34,1
"Sun, Oct 12",9288,785,116,91,1
"Mon, Oct 13",10480,884,145,79,1
"Tue, Oct 14",9867,827,138,92,1
"Wed, Oct 15",9793,832,140,94,1
"Thu, Oct 16",9500,788,129,61,1
"Fri, Oct 17",9088,780,127,44,1
"Sat, Oct 18",7664,652,94,62,1
"Sun, Oct 19",8434,697,120,77,1
"Mon, Oct 20",10496,860,153,98,1
"Tue, Oct 21",10551,864,143,71,1
"Wed, Oct 22",9737,801,128,70,1
"Thu, Oct 23",8176,642,122,68,1
"Fri, Oct 24",9402,697,194,94,1
"Sat, Oct 25",8669,669,127,81,1
"Sun, Oct 26",8881,693,153,101,1
"Mon, Oct 27",9655,771,213,119,1
"Tue, Oct 28",9396,736,162,120,1
"Wed, Oct 29",9262,727,201,96,1
"Thu, Oct 30",9308,728,207,67,1
"Fri, Oct 31",8715,722,182,123,1
"Sat, Nov 1",8448,695,142,100,1
"Sun, Nov 2",8836,724,182,103,1
"Mon, Nov 3",9359,789,,,1
"Tue, Nov 4",9427,743,,,1
"Wed, Nov 5",9633,808,,,1
"Thu, Nov 6",9842,831,,,1
"Fri, Nov 7",9272,767,,,1
"Sat, Nov 8",8969,760,,,1
"Sun, Nov 9",9697,850,,,1
"Mon, Nov 10",10445,851,,,1
"Tue, Nov 11",9931,831,,,1
"Wed, Nov 12",10042,802,,,1
"Thu, Nov 13",9721,829,,,1
"Fri, Nov 14",9304,770,,,1
"Sat, Nov 15",8668,724,,,1
"Sun, Nov 16",8988,710,,,1
